[2024-11-30 23:17:12,507] SGD - Epoch 51: Train Loss = 0.0117, Test Loss = 0.0623, Accuracy = 98.26%
[2024-11-30 23:17:15,892] SGD - Epoch 52: Train Loss = 0.0109, Test Loss = 0.0608, Accuracy = 98.37%
[2024-11-30 23:17:19,212] SGD - Epoch 53: Train Loss = 0.0109, Test Loss = 0.0607, Accuracy = 98.32%
[2024-11-30 23:17:22,545] SGD - Epoch 54: Train Loss = 0.0102, Test Loss = 0.0615, Accuracy = 98.31%
[2024-11-30 23:17:25,881] SGD - Epoch 55: Train Loss = 0.0103, Test Loss = 0.0639, Accuracy = 98.22%
[2024-11-30 23:17:29,365] SGD - Epoch 56: Train Loss = 0.0105, Test Loss = 0.0609, Accuracy = 98.36%
[2024-11-30 23:17:33,057] SGD - Epoch 57: Train Loss = 0.0101, Test Loss = 0.0629, Accuracy = 98.37%
[2024-11-30 23:17:36,803] SGD - Epoch 58: Train Loss = 0.0097, Test Loss = 0.0642, Accuracy = 98.32%
[2024-11-30 23:17:40,295] SGD - Epoch 59: Train Loss = 0.0092, Test Loss = 0.0643, Accuracy = 98.28%
[2024-11-30 23:17:43,635] SGD - Epoch 60: Train Loss = 0.0087, Test Loss = 0.0635, Accuracy = 98.29%
[2024-11-30 23:17:47,093] SGD - Epoch 61: Train Loss = 0.0086, Test Loss = 0.0657, Accuracy = 98.21%
[2024-11-30 23:17:56,120] SGD - Epoch 1: Train Loss = 1.0723, Test Loss = 0.3537, Accuracy = 89.80%
[2024-11-30 23:17:59,451] SGD - Epoch 2: Train Loss = 0.3535, Test Loss = 0.2557, Accuracy = 92.47%
[2024-11-30 23:18:02,897] SGD - Epoch 3: Train Loss = 0.2712, Test Loss = 0.2051, Accuracy = 93.86%
[2024-11-30 23:18:06,417] SGD - Epoch 4: Train Loss = 0.2166, Test Loss = 0.1674, Accuracy = 94.94%
[2024-11-30 23:18:09,955] SGD - Epoch 5: Train Loss = 0.1816, Test Loss = 0.1463, Accuracy = 95.40%
[2024-11-30 23:18:13,563] SGD - Epoch 6: Train Loss = 0.1567, Test Loss = 0.1254, Accuracy = 96.13%
[2024-11-30 23:18:17,514] SGD - Epoch 7: Train Loss = 0.1376, Test Loss = 0.1136, Accuracy = 96.54%
[2024-11-30 23:18:21,370] SGD - Epoch 8: Train Loss = 0.1224, Test Loss = 0.1050, Accuracy = 96.72%
[2024-11-30 23:18:24,810] SGD - Epoch 9: Train Loss = 0.1097, Test Loss = 0.0963, Accuracy = 97.04%
[2024-11-30 23:18:28,559] SGD - Epoch 10: Train Loss = 0.1015, Test Loss = 0.0907, Accuracy = 97.20%
[2024-11-30 23:18:32,100] SGD - Epoch 11: Train Loss = 0.0916, Test Loss = 0.0845, Accuracy = 97.33%
[2024-11-30 23:18:35,747] SGD - Epoch 12: Train Loss = 0.0843, Test Loss = 0.0797, Accuracy = 97.48%
[2024-11-30 23:18:39,246] SGD - Epoch 13: Train Loss = 0.0768, Test Loss = 0.0772, Accuracy = 97.59%
[2024-11-30 23:18:42,608] SGD - Epoch 14: Train Loss = 0.0726, Test Loss = 0.0740, Accuracy = 97.63%
[2024-11-30 23:18:46,081] SGD - Epoch 15: Train Loss = 0.0671, Test Loss = 0.0705, Accuracy = 97.90%
[2024-11-30 23:18:50,097] SGD - Epoch 16: Train Loss = 0.0635, Test Loss = 0.0678, Accuracy = 97.85%
[2024-11-30 23:18:53,565] SGD - Epoch 17: Train Loss = 0.0584, Test Loss = 0.0671, Accuracy = 97.87%
[2024-11-30 23:18:56,968] SGD - Epoch 18: Train Loss = 0.0542, Test Loss = 0.0673, Accuracy = 97.98%
[2024-11-30 23:19:00,382] SGD - Epoch 19: Train Loss = 0.0523, Test Loss = 0.0644, Accuracy = 98.01%
[2024-11-30 23:19:03,803] SGD - Epoch 20: Train Loss = 0.0486, Test Loss = 0.0640, Accuracy = 98.03%
[2024-11-30 23:19:07,227] SGD - Epoch 21: Train Loss = 0.0451, Test Loss = 0.0618, Accuracy = 97.95%
[2024-11-30 23:19:10,866] SGD - Epoch 22: Train Loss = 0.0431, Test Loss = 0.0614, Accuracy = 98.09%
[2024-11-30 23:19:14,374] SGD - Epoch 23: Train Loss = 0.0404, Test Loss = 0.0602, Accuracy = 98.02%
[2024-11-30 23:19:17,806] SGD - Epoch 24: Train Loss = 0.0378, Test Loss = 0.0608, Accuracy = 98.07%
[2024-11-30 23:19:21,219] SGD - Epoch 25: Train Loss = 0.0356, Test Loss = 0.0598, Accuracy = 98.14%
[2024-11-30 23:19:24,635] SGD - Epoch 26: Train Loss = 0.0343, Test Loss = 0.0611, Accuracy = 98.08%
[2024-11-30 23:19:28,049] SGD - Epoch 27: Train Loss = 0.0324, Test Loss = 0.0588, Accuracy = 98.16%
[2024-11-30 23:19:31,699] SGD - Epoch 28: Train Loss = 0.0306, Test Loss = 0.0582, Accuracy = 98.27%
[2024-11-30 23:19:35,512] SGD - Epoch 29: Train Loss = 0.0291, Test Loss = 0.0593, Accuracy = 98.12%
[2024-11-30 23:19:38,922] SGD - Epoch 30: Train Loss = 0.0267, Test Loss = 0.0597, Accuracy = 98.11%
[2024-11-30 23:19:42,332] SGD - Epoch 31: Train Loss = 0.0272, Test Loss = 0.0604, Accuracy = 98.11%
[2024-11-30 23:19:45,941] SGD - Epoch 32: Train Loss = 0.0246, Test Loss = 0.0583, Accuracy = 98.17%
[2024-11-30 23:19:49,601] SGD - Epoch 33: Train Loss = 0.0243, Test Loss = 0.0596, Accuracy = 98.11%
[2024-11-30 23:19:53,354] SGD - Epoch 34: Train Loss = 0.0229, Test Loss = 0.0581, Accuracy = 98.24%
[2024-11-30 23:19:57,924] SGD - Epoch 35: Train Loss = 0.0222, Test Loss = 0.0585, Accuracy = 98.17%
[2024-11-30 23:20:01,331] SGD - Epoch 36: Train Loss = 0.0201, Test Loss = 0.0581, Accuracy = 98.17%
[2024-11-30 23:20:04,734] SGD - Epoch 37: Train Loss = 0.0194, Test Loss = 0.0594, Accuracy = 98.16%
[2024-11-30 23:20:08,179] SGD - Epoch 38: Train Loss = 0.0190, Test Loss = 0.0576, Accuracy = 98.23%
